Sample	O2.UC49.0	O2.UC49.2	O2.UC50.0	O2.UC50.2	O2.UC51.0	O2.UC51.2	O2.UC52.0	O2.UC52.2	O2.UC53.0	O2.UC53.2	O2.UC54.0	O2.UC54.2	O2.UC55.0	O2.UC55.2	O2.UC56.0	O2.UC56.2	O2.UC57.0	O2.UC57.2	O2.UC58.0	O2.UC58.2	O2.UC59.0	O2.UC59.2	O2.UC60.0	O2.UC60.2	V1.CD1.0	V1.CD10.0	V1.CD11.0	V1.CD12.0	V1.CD13.0	V1.CD14.0	V1.CD15.0	V1.CD15.3	V1.CD16.0	V1.CD17.0	V1.CD17.4	V1.CD18.0	V1.CD18.3	V1.CD19.0	V1.CD2.0	V1.CD20.4	V1.CD21.0	V1.CD21.4	V1.CD22.0	V1.CD24.0	V1.CD25.0	V1.CD25.4	V1.CD27.0	V1.CD28.0	V1.CD29.0	V1.CD3.0	V1.CD30.0	V1.CD31.0	V1.CD34.0	V1.CD35.0	V1.CD35.1	V1.CD36.0	V1.CD38.0	V1.CD4.0	V1.CD41.0	V1.CD42.0	V1.CD6.0	V1.CD6.4	V1.CD7.0	V1.CD7.4	V1.CD8.0	V1.CD9.0	V1.UC16.0	V1.UC18.0	V1.UC19.0	V1.UC24.0	V1.UC27.0	V1.UC28.0	V1.UC29.0	V1.UC30.0	V1.UC32.0	V1.UC33.0	V1.UC34.0	V1.UC36.0	V1.UC37.0	V1.UC41.0	V1.UC42.0	V1.UC43.0	V1.UC44.0	V1.UC46.0	V1.UC48.0	V1.UC57.0	V1.UC6.0	V1.UC61.0	V1.UC62.0	V1.UC7.0	V1.UC8.0	V1.UC9.0
Disease	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	CD	CD	C	CD	C	C	CD	CD	C	CD	CD	CD	CD	C	C	CD	CD	CD	C	C	CD	CD	C	C	C	C	C	C	C	CD	CD	C	C	C	CD	C	CD	CD	CD	CD	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
V1.UC9.0__NODE_6_length_80831_cov_1.98712__44248__nrps__ANTISMASH__3056_47304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64981200790591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.8988854921464
V1.UC9.0__NODE_2_length_137022_cov_1.97144__18483__lantipeptide__ANTISMASH__0_18483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06353696660768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.2284957072613
V1.UC62.0__NODE_73_length_130004_cov_11.0735__44341__nrps__ANTISMASH__4183_48524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.02523602427523	0	0	0	0	0	0	0	0.407070808261866	0	0.609705515391453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502383566716124	0	0	0	0	0	0	0	0	0	4.82909216158411	0	0	0
V1.UC62.0__NODE_5019_length_8060_cov_2.68332__8060__other__ANTISMASH__0_8060	0	0	0	0	1.82358417698475	1.40948188385697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45786899246401	0	0	0	0	0	2.85491097666433	0	0	0	0	3.72617668973098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93917735526606	0	0	0	1.40188487867576	0	0	0	1.40887265203918	0	0	0
V1.UC62.0__NODE_4713_length_8599_cov_1.84925__8599__nrps__ANTISMASH__0_8599	4.32838331406682	0	0.222421994158229	0.342423216697835	0.24182058100175	0	0	0	0.967369162148396	0.263131251727117	0.249418992665335	0	0	0	0	0	0.20994821303079	0	0.29646817750953	0.315750178936924	0.781318762435999	0.880579289101323	0	0.266454868647483	0	0	9.66019143800843	0	0	0	0	0	0.396944732621297	3.4188646746164	4.07311084419347	0	2.79641938696907	1.0398017098933	0	0.768385876314302	0	0.672785335604192	0.163638780778334	0	2.28428915100943	3.75533718999053	1.06955039477461	0	0.521515537021983	0	0.233230307259751	0	0.501529759051209	0	0	2.76928950854128	0.378731469043168	0	1.73800228989692	0.397752167300109	0	0.884701275306713	0	0	0	0	0	0	0	0.478696687950356	0.309156057740503	0.345144536882847	0	0	0.771455391637752	0	0	0	0	0	0	0	0.247892644900604	0.386434024268137	0.579056285960119	0.410025130803158	0	0.172245721824074	0.890284170652344	1.88239018695625	0	0
V1.UC62.0__NODE_383_length_65807_cov_10.8289__43303__nrps__ANTISMASH__0_43303	0	0	0.353343967441815	0	0	0	0.828245093954169	2.94115374305596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61794824719328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71232501852504	0	0	0	0	0	0	0	0	0	0	4.77520433117087	0	0	0
V1.UC62.0__NODE_31_length_180575_cov_19.4374__62233__nrps-ladderane__ANTISMASH__16961_79194	0	1.90574683023006	0	0	7.54399976736384	7.15074368784774	0	0	6.71840069016739	3.85783055221807	8.22204191852723	6.3343562776621	6.84983474223657	5.63109742203567	6.92097747224232	5.88680270508862	5.79501012887809	3.9369854494998	1.13204929343343	4.03139549481852	3.70101237987544	7.67980701196627	17.144043201686	5.83137096649976	0	0	0	0	0	0	0	0	10.8840300731554	0	0	0	0	5.07694566719309	0	0	0	0	2.56779567482201	7.55051921018989	0	4.64769396174722	9.31393312108686	0	0	4.78697784946166	1.10198003946498	24.3611647714134	0	0	0	2.44550505983997	0.523756755539443	2.55000076241753	0	0	0	0	0	1.69756780010036	0	8.40087538967861	0	0	0	1.92702488257108	1.31727180219886	0.608873579023008	2.98086588828137	32.346971031831	0	7.458661256926	4.42050047458588	0	0	1.52136989783425	6.92672784219136	6.15914063020217	4.59543027773616	5.16470233801725	2.71190064501288	0.200145444623989	0	1.93099421404193	8.92427130941129	0	13.1367361677108	0
V1.UC62.0__NODE_2381_length_16998_cov_3.90916__14919__lantipeptide__ANTISMASH__2079_16998	0	0	0.471815794782102	0.379352043525891	0.514635072724168	0.240618652395746	0	0	0	0.456147808670117	0	0.471752115330393	0	0	0	0	0	0	0	0	0.682689933756946	0	0.624276877367783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196835486307747	0	0	0	0	0.406805813354948	0.570690607171137	0	0	0	0	0.275635966544635	0	0.403287233486145	0	0	0.453016662854693	0	0	2.00288407951165	0	0.199668954337944	0	0	0	0	0	0	3.12616025649103	0	0	0	0	0	0	0.321645107693521	0	0	0	0	0	0.830061269590914	0	1.36843446918516	1.14615986925081	0.62325303759332	0	0.485657695003631	0	0	0	2.15537341178632	0	0	0
V1.UC62.0__NODE_2107_length_19098_cov_11.6675__19098__resorcinol__ANTISMASH__0_19098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.42605666002769	0	0	0
