Sample	CSM5FZ4A	CSM5FZ4E	CSM5FZ4G	CSM5FZ4K	CSM5MCTZ	CSM5MCU8	CSM5MCUA	CSM5MCUC	CSM5MCUE	CSM5MCUG	CSM5MCUK	CSM5MCUQ	CSM5MCUS	CSM5MCUW	CSM5MCUY	CSM5MCWM	CSM5MCXB	CSM5MCYI	CSM5MCYM	CSM5MCYO	CSM5MCYQ	CSM5MCYU	CSM67U9H	CSM67U9P	CSM67U9R	CSM67U9T	CSM67UEP	CSM67UET	CSM67UEW	CSM67UF1	CSM6J2H9	CSM79HGD	CSM79HGF	CSM79HGH	CSM79HGJ	CSM79HGL	CSM79HGN	CSM79HGR	CSM79HGV	CSM79HM5	CSM79HM9	CSM79HNG	CSM79HPM	CSM79HPQ	CSM79HQR	CSM79HQT	CSM7CZ2F	CSM7KOMR	CSM7KOMV	CSM7KONS	CSM7KONW	CSM7KONY	CSM7KOQ5	CSM7KOU7	CSM7KOUJ	ESM5GEYU	ESM5GEZ1	ESM5GEZ3	ESM5GEZ4	ESM5GEZ6	ESM5GEZA	ESM5ME9H	ESM5MEA7	ESM5MEA9	ESM5MEAB	ESM5MEBP	ESM5MEC7	ESM5MEEJ	HSM5MD43	HSM5MD44	HSM5MD47	HSM5MD57	HSM5MD59	HSM5MD5B	HSM5MD5D	HSM5MD5F	HSM5MD5Z	HSM5MD6E	HSM5MD6I	HSM5MD6K	HSM5MD6O	HSM5MD6S	HSM5MD6U	HSM5MD82	HSM5MD87	HSM5MD8A	HSM5MD8B	HSM5MD8D	HSM5MD8H	HSM5MD8L	HSM5MD8N	HSM5MD8P	HSM67VDR	HSM67VDT	HSM67VDX	HSM67VFX	HSM67VG2	HSM67VG6	HSM67VGA	HSM67VGE	HSM67VGI	HSM6XRQC	HSM6XRSX	HSM6XRSZ	HSM6XRT2	HSM6XRT4	HSM6XRT6	HSM6XRTA	HSM6XRTC	HSM6XRTE	HSM6XRTG	HSM7CYYR	HSM7CYYV	HSM7CYYZ	HSM7CZ1T	HSM7CZ2J	HSM7CZ2L	HSM7CZ2X	HSM7J4JT	HSM7J4JV	HSMA33J1	HSMA33P2	MSM5LLFK	MSM5LLFM	MSM5LLFO	MSM5LLFU	MSM5LLHV	MSM6J2JF	MSM6J2JH	MSM6J2M3	MSM6J2N6	MSM6J2PQ	MSM79H52	MSM79H8J	MSM79H94	MSM79H9U	MSM79HCN	MSM79HD6	MSM79HD8	MSM79HF1	MSM9VZFJ	MSM9VZJF	MSM9VZMQ	MSM9VZN4	MSM9VZNV	PSM6XBSE	PSM6XBSG	PSM6XBTZ	PSM7J19X	PSM7J1C2
Disease	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Healthy control	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Healthy control	Healthy control	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Ulcerative colitis	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Ulcerative colitis	Healthy control	Healthy control	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Healthy control	Healthy control	Ulcerative colitis	Healthy control	Healthy control	Healthy control	Healthy control	Ulcerative colitis	Healthy control	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Ulcerative colitis	Healthy control	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Ulcerative colitis	Healthy control	Healthy control	Ulcerative colitis
C6033__NODE_74_length_65062_cov_18.6386__47783__arylpolyene__ANTISMASH__13014_60797	0	0	0	0	1.29369232834774	0.78444680134968	0	0	0	1.06043339818259	0.627942080621504	0	0	0	0	0	8.0395024950643	2.473108688107	7.52922584968104	2.24101625656957	3.30691071409624	0	0	0	0	0	2.34096438021075	5.97581950459344	1.62533346142502	4.89410936425431	5.86234237806066	0	0	0	0	0	0	0	0	8.96017197609513	1.42256367720106	0	0	0	0	3.39398409373162	0	2.58920743518066	11.542230489013	0	1.24987652000366	0	0	0	1.28406094880997	0	0	0	0	0	0	0	0	0	0	0	10.133047172945	0	0	0	0	0	0	0	0	0	0	10.8579053465905	5.13278800912788	5.47601629396461	0	0	2.84117757728742	9.68564880829235	0	0	4.11153348899036	1.73273375519461	4.62292455003636	2.74677826702777	16.0688386512919	2.92861379233355	0	6.68902523556884	11.0463668154488	0	0	0	9.12148375081627	2.51820830586582	9.54024830166034	0	0	0	0	0	0	6.82667761949199	1.18420933173706	5.33746919401225	2.62424898645141	6.09080734609215	5.13712092940637	4.19476919467316	1.61826123912875	0	0	0	0	0	0	0	5.32292491622228	7.65333699626275	6.61680193316522	6.43276326689339	1.55832871068794	3.05063086611097	0	2.30991326256228	0	0	0	0	0	0.436231916107056	0	0	1.44540318187458	0	5.44614229466066	0	5.7624562538643	1.10932543167371	0	0	0	1.502772187513	0	0
C6028__NODE_655_length_10036_cov_6.11802__10036__siderophore__ANTISMASH__0_10036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66445376788999	0	0	0	0	0	0	0	0	0	46.3613550097753	0
C6028__NODE_585_length_11015_cov_277.86__11015__nrps-t1pks__ANTISMASH__0_11015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5824.85628942423	0	0	0	0	0	0	0	0	0	0	0	1.47077588311197	0	0	0	0	0	0	0	0	0	2.76632690218146	0
C6028__NODE_10_length_182917_cov_26.4625__65320__nrps-t1pks__ANTISMASH__0_65320	0	0	0	0	0	0	0	0	0	0	0	1.1762572520782	13.6087688813365	11.7637419594566	14.0016423516849	0	0	0	0	0	0	0	0.187619049827469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30258943455746	0.614580642609027	0	0.565090931294825	0	0	0	0	3.74964237310225	1.98290904232067	0	0	0	0	0	5.53021676015439	0	0	0	0.298476986980758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49714093837051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77901535710459	0	0	0	0	0	0	0	0	1.07001566424931	0	0	0	0	0	0	0	0	0	0	0	0	0.88050548702216	0	0	0	0	0	0	0	0	1.05579140751933	0
C6024__NODE_106_length_12932_cov_8.40009__12932__siderophore__ANTISMASH__0_12932	0	0	0	0	0	0	0	0	0	0	0	1.4632203877769	11.7096867311321	10.5607820485009	12.0307659655194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.08948961612361	0	0	0	0	0	2.20087624276924	0	0	10.6492330000088	0	0	0	0	0	0	0	0	0	0	2.35542920227019	0	0	0	0	0	0	0	0	0	0	0.521450680271945	0	0	0	0	0	0	0	0	0	0	4.24177627648581	0	0	1.62951569575119	0	0	0	0	0	0	0	661.420988118485
C6018__NODE_72_length_22705_cov_9.57422__22705__bacteriocin__ANTISMASH__0_22705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1102.53835137067	0
C6018__NODE_608_length_6676_cov_6.59039__6676__bacteriocin__ANTISMASH__0_6676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31211937224569	2.72873801036076	3.87385872585023	0	0	0	2.02217885828278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2311.60594183734	0
C6018__NODE_6_length_211223_cov_23.7637__51494__otherks-t1pks__ANTISMASH__24496_75990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.9402271345355	0
C6018__NODE_47_length_33281_cov_11.1139__33281__nrps__ANTISMASH__0_33281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431.70980206584	0
