Sample	CSM5FZ3N	CSM5FZ3R	CSM5FZ3T	CSM5FZ3V	CSM5FZ3X	CSM5FZ3Z	CSM5FZ42	CSM5FZ44	CSM5FZ46	CSM5FZ4C	CSM5LLGB	CSM5MCU4	CSM5MCV1	CSM5MCV5	CSM5MCVB	CSM5MCVD	CSM5MCVF	CSM5MCVJ	CSM5MCVV	CSM5MCVZ	CSM5MCW4	CSM5MCWA	CSM5MCWI	CSM5MCWK	CSM5MCXF	CSM5MCXX	CSM5MCXZ	CSM5YRY7	CSM67U9V	CSM67U9X	CSM67UAI	CSM67UB5	CSM67UB7	CSM67UB9	CSM67UCU	CSM6J2H9	CSM79HG7	CSM79HGR	CSM79HGV	CSM79HH2	CSM79HHW	CSM79HJ2	CSM79HJ4	CSM79HJ6	CSM79HJ8	CSM79HJC	CSM79HJI	CSM79HNY	CSM7CZ2F	CSM7KOKH	CSM7KOKL	CSM7KOKP	CSM7KOQP	CSM7KOQZ	CSM7KOR4	CSM7KOR8	ESM5GEYU	ESM5GEYW	ESM5GEYX	ESM5GEYY	ESM5GEZ1	ESM5GEZ3	ESM5ME9D	ESM5ME9G	ESM5ME9H	ESM5MEB9	ESM5MEBA	ESM5MEBP	ESM5MEDP	ESM5MEDZ	ESM5MEE2	ESM5MEE6	ESM718U9	ESM7F5AE	HSM5FZBP	HSM5FZBQ	HSM5FZBR	HSM5FZC2	HSM5MD3L	HSM5MD49	HSM5MD4A	HSM5MD4B	HSM5MD4P	HSM5MD4U	HSM5MD4W	HSM5MD57	HSM5MD59	HSM5MD5B	HSM5MD5D	HSM5MD5F	HSM5MD5H	HSM5MD5K	HSM5MD5X	HSM5MD5Z	HSM5MD6E	HSM5MD6I	HSM5MD6K	HSM5MD6O	HSM5MD6S	HSM5MD6U	HSM5MD7W	HSM5MD7Z	HSM5MD82	HSM5MD8A	HSM5MD8B	HSM5MD8D	HSM5MD8F	HSM5MD8H	HSM5MD8J	HSM5MD8L	HSM5MD8N	HSM5MD8P	HSM5MEE5	HSM67VCX	HSM67VDR	HSM67VDT	HSM67VDX	HSM67VFX	HSM67VG2	HSM67VG6	HSM67VGA	HSM67VGE	HSM67VGI	HSM67VIJ	HSM6XRQB	HSM6XRQC	HSM6XRSX	HSM6XRSZ	HSM6XRT2	HSM6XRT4	HSM6XRT6	HSM6XRTA	HSM6XRTC	HSM6XRTE	HSM6XRTG	HSM7CYWS	HSM7CYYR	HSM7CYYV	HSM7CYYZ	HSM7CZ2J	HSM7CZ2L	HSM7CZ2V	HSM7J4JW	HSM7J4Q3	HSMA33J1	HSMA33NG	MSM5FZ9N	MSM5FZ9Q	MSM5FZ9V	MSM5FZ9X	MSM5FZA2	MSM5LLD6	MSM5LLE3	MSM5LLE9	MSM5LLF2	MSM5LLFG	MSM5LLGD	MSM5LLGF	MSM5LLGH	MSM5LLGJ	MSM5LLGN	MSM5LLGR	MSM5LLH2	MSM5LLH4	MSM5LLH8	MSM5LLHA	MSM5LLHE	MSM5LLHG	MSM5LLHI	MSM5LLHO	MSM5LLHQ	MSM5LLHR	MSM5LLHX	MSM5LLI2	MSM5LLI4	MSM5LLI6	MSM5LLI8	MSM5LLIC	MSM5LLIE	MSM5LLIG	MSM5LLII	MSM5LLIK	MSM5LLIM	MSM5LLIS	MSM5ZOJY	MSM633FF	MSM6J2JF	MSM6J2JH	MSM6J2M3	MSM6J2PQ	MSM6J2RG	MSM79H52	MSM79H8J	MSM79H94	MSM79HBX	MSM79HCN	MSM9VZFJ	MSM9VZJJ	MSM9VZLX	MSM9VZM4	MSM9VZMQ	PSM6XBQM	PSM6XBRK	PSM6XBRM	PSM6XBS2	PSM6XBS4	PSM6XBS6	PSM6XBSC	PSM6XBTF	PSM6XBTH	PSM6XBTJ	PSM6XBTN	PSM6XBTZ	PSM6XBVY	PSM7J13U	PSM7J13Y	PSM7J143	PSM7J149	PSM7J19X	PSM7J1B3	PSM7J1BN	PSM7J1CK	PSM7J1CS	PSMA2651
Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Healthy control	Crohn's Disease	Healthy control	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Healthy control	Healthy control	Healthy control	Crohn's Disease	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease
V1.UC62.0__NODE_5019_length_8060_cov_2.68332__8060__other__ANTISMASH__0_8060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738392407975187	0	0	0	0	0	0	0
V1.UC62.0__NODE_4713_length_8599_cov_1.84925__8599__nrps__ANTISMASH__0_8599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377166757691656	0	0	0	0	0	0	0	0	0	0.502264850369249	2.50914010825081	0	0	0	0.31660261894514	0	0	0	0	0	0.674626208081012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68464267204715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.499313027644544	0.427369511399579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.490491741305094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383578262262492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60986160036407	0	0	0	0	0	0	0	0	1.46324827132515	0	0	0	0	0	0.51032846631133	0	0	0	1.1370748897267	0.507555932888821	0	0	0	0	0	0	0	0	0	0.467498302416528	0	0	0	0.51286773601796	0	0	0	0	0	0.314941847583024	0	0.384681911267577	0.62984800501758	0	0	0.515031893873107	0.521917752041652	0	0	0	0	0	0	0	0	0	0	0	0.637316825739117	0	0.485996659620743
V1.UC62.0__NODE_31_length_180575_cov_19.4374__62233__nrps-ladderane__ANTISMASH__16961_79194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6897011080316	0	0	0	0	0	0	0	0	0	0	0	0	0.827130808797315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.73849505775726	0	0	0	0	0	2.40538981882141	0	0	1.66376310356457	0	0	0	0	0	0	0	0.426934466895536	0	0	0	0	0	0	0	0	0	0	2.60122202568413	0	0	0	0	0	0	0	0	0	0	0	2.28306538950313	0	0	0	0	0	0	0.729029468624248	1.70844033433677	0	0	0.965377024825449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537059874380627	0.366388563624588	0.324844068105785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854983671313755	0.53883150505476	0	0	0	27.6145046173293	0.457478696433504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07652145272332	0	0	0	0	0	0	0	0	0	0
V1.UC62.0__NODE_2381_length_16998_cov_3.90916__14919__lantipeptide__ANTISMASH__2079_16998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.831074612587912	0	0	0	0.41072098782166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.503084584247811	0	0	0	0	0	0	0	9.26917886386659	0.831066489981204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.497794703757793	0	0	1.18749399661494	0.696642876821518	1.10763151525723	1.02728010178204	0	0	0	0	0	0	0	2.45958420671637	0	0	0	0.490759447962377	0	0	0	0.2603442099401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC62.0__NODE_2107_length_19098_cov_11.6675__19098__resorcinol__ANTISMASH__0_19098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17875913229045	0	0	0	0	0	0	4.36593723081456	2.68057471817735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC61.0__NODE_930_length_26002_cov_3.77986__26002__nrps__ANTISMASH__0_26002	0	0	3.40010379287874	0	1.87660551949177	4.82012860751684	8.1375807386985	3.10073072124183	2.04251817869772	0	0	3.42261947467586	0	0	0	0.79191402731261	0.470592805142966	4.43583067181343	0.957017104565402	1.54794922551818	0.800092573091207	0	2.13871663475991	0	0	0	0	0.726921477915219	0	0	31.8364027356197	0	0	2.76082549973288	0	0	0	0	0	0	1.26829080961238	0	0	0	0	0	1.61911487578319	0	0	0	0	0	0	0	0	0	1.58651716753718	0	0	0	0.777682059125282	0.482800861386451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.741813035992717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06756852900256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67058378042287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89230698117181	4.65016758799142	0	2.14482741307628	1.66408585662963	0	0	0	0	0	0	0	0	0	0.825255325106139	0.565949146216241	0	0	0	0	0	0	0	0	0	0.45351933301243	0	0	0	0	0	0	0	0	0	0.652016898072461	0	0	1.40253916854921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.564281125511296	0.492773874369502	0	9.23317984693318	0	0	0	0	0
V1.UC61.0__NODE_459_length_41744_cov_4.85281__24015__nrps__ANTISMASH__17729_41744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.985221702927118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.497776775402171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15897301024523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC61.0__NODE_228_length_65988_cov_4.67854__26289__nrps__ANTISMASH__39699_65988	0	0	0	0	2.47648772695046	1.25919197311988	0	0	0.925221174132633	0	0	0	13.6103014829698	0	10.0023471920588	0	0	0.790102509191078	3.68505423818103	0	0	14.1262954439656	0	0	0	0	0	0	0	0	15.7894502657945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5310687679578	0	0	0	1.3845456283037	0	0	0	0	0	0	0	0	0	0	0	2.97407786451922	0	1.81074103207392	0	0	0	0	1.55920738176237	0	0	0	0	0	0	0	0	0	4.7904679666674	0	0	0	0	0	0	0	0	0	0	0	0	0.687427894107683	0.503970770821515	0	0	1.98758031391003	0	0	0	0	0	0	0	0	0	0	0	6.19330998980473	1.27720506937913	0	0	0	0.652153088684146	0	0	2.34139843436547	0	3.79092086044664	7.26867499399371	0	0	0	0	0	0	0	0	0	0	1.28439647635822	0.597685899024713	0	0	0	0	0	0	0	0	0	0	0	0	5.54563356723054	0	0	0	0	0	0	0.356440369779273	0.701074059084834	0	0	0.899787461971189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88197389163574	0	0	0	0	0	0	0.22892804765657	0	0	0	3.74919034036152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989279663090509	16.8902158778688	21.8706962341928	0	0	0
V1.UC61.0__NODE_2273_length_12464_cov_2.76678__12464__t1pks__ANTISMASH__0_12464	0	0	0	0	2.79235850772726	2.88764393854332	0	0	2.35953155668774	0	0	0	8.61921135533806	0	8.04271287811476	0	0	1.71368309811506	2.15517986464874	0	0	10.2876383385272	0	0	0	0	0	0	0	0	12.0466862857825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.821050298441	0	0	0	1.09689816197381	0	0	0	0	0	0	0	0	0	0	0	2.69913759006559	0	1.51339245341967	0	0	0	0	1.41318316484531	0	0	0	0	0	0	0	0	0	0.381355339249914	0	0	2.59229396845253	0	0	0	0	0	0	0	0	0	1.45256495753025	0	0	0	1.99106354478309	0	0	0	0	0	0	0	0	0	0	0	4.71690269134743	0.691604964394958	0	0	0	0.517420063978722	0	0	1.02063756082484	0	2.5680256475804	5.45665354776235	0	0	0	0	0	0	0	0	0	0	1.26135286942557	2.56076932550192	0	0	0	0	0	0	0	0	0	0	0	0	3.4966464570809	0	0	0	0	0	0	1.25300343404034	0.75889307882517	0	0	0.496065605432262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02029892903446	0	0	0	0	0	0	0.991770678787158	0	0	0	4.25410005340556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.9523599000119	14.8181752684956	0	0	0
