Sample,O2.UC1.0,O2.UC1.2,O2.UC11.0,O2.UC11.2,O2.UC12.0,O2.UC12.2,O2.UC13.0,O2.UC13.2,O2.UC14.0,O2.UC14.2,O2.UC16.0,O2.UC16.2,O2.UC17.0,O2.UC17.2,O2.UC18.0,O2.UC18.2,O2.UC19.0,O2.UC19.2,O2.UC2.0,O2.UC2.2,O2.UC20.0,O2.UC20.2,O2.UC21.0,O2.UC21.2,O2.UC22.0,O2.UC22.2,O2.UC23.0,O2.UC23.2,O2.UC24.0,O2.UC24.2,O2.UC26.0,O2.UC26.2,O2.UC27.0,O2.UC27.2,O2.UC29.0,O2.UC29.2,O2.UC3.0,O2.UC3.2,O2.UC30.0,O2.UC30.2,O2.UC31.0,O2.UC31.2,O2.UC32.0,O2.UC32.2,O2.UC34.0,O2.UC34.2,O2.UC35.0,O2.UC35.2,O2.UC36.2,O2.UC37.0,O2.UC37.2,O2.UC38.0,O2.UC38.2,O2.UC4.0,O2.UC4.2,O2.UC40.0,O2.UC40.2,O2.UC41.0,O2.UC41.2,O2.UC43.0,O2.UC43.2,O2.UC44.0,O2.UC44.2,O2.UC46.0,O2.UC46.2,O2.UC47.0,O2.UC47.2,O2.UC48.0,O2.UC48.2,O2.UC49.0,O2.UC49.2,O2.UC5.0,O2.UC5.2,O2.UC50.0,O2.UC50.2,O2.UC51.0,O2.UC51.2,O2.UC52.0,O2.UC52.2,O2.UC53.0,O2.UC53.2,O2.UC54.0,O2.UC54.2,O2.UC55.0,O2.UC55.2,O2.UC56.0,O2.UC56.2,O2.UC57.0,O2.UC57.2,O2.UC58.0,O2.UC58.2,O2.UC59.0,O2.UC59.2,O2.UC60.0,O2.UC60.2,O2.UC9.0,O2.UC9.2,V1.CD1.0,V1.CD10.0,V1.CD11.0,V1.CD12.0,V1.CD13.0,V1.CD14.0,V1.CD15.0,V1.CD15.3,V1.CD16.0,V1.CD17.0,V1.CD17.4,V1.CD18.0,V1.CD18.3,V1.CD19.0,V1.CD2.0,V1.CD20.4,V1.CD21.0,V1.CD21.4,V1.CD22.0,V1.CD24.0,V1.CD25.0,V1.CD25.4,V1.CD27.0,V1.CD28.0,V1.CD29.0,V1.CD3.0,V1.CD30.0,V1.CD31.0,V1.CD34.0,V1.CD35.0,V1.CD35.1,V1.CD36.0,V1.CD38.0,V1.CD4.0,V1.CD41.0,V1.CD42.0,V1.CD6.0,V1.CD6.4,V1.CD7.0,V1.CD7.4,V1.CD8.0,V1.CD9.0,V1.UC1.0,V1.UC10.0,V1.UC10.2,V1.UC11.0,V1.UC11.5,V1.UC12.0,V1.UC12.4,V1.UC13.0,V1.UC13.3,V1.UC14.0,V1.UC14.1,V1.UC15.0,V1.UC15.3,V1.UC16.0,V1.UC17.0,V1.UC17.2,V1.UC18.0,V1.UC19.0,V1.UC2.0,V1.UC2.4,V1.UC21.0,V1.UC21.4,V1.UC23.0,V1.UC23.1,V1.UC24.0,V1.UC25.0,V1.UC25.1,V1.UC26.0,V1.UC26.4,V1.UC27.0,V1.UC28.0,V1.UC29.0,V1.UC3.0,V1.UC3.2,V1.UC30.0,V1.UC31.0,V1.UC31.4,V1.UC32.0,V1.UC33.0,V1.UC34.0,V1.UC35.0,V1.UC35.4,V1.UC36.0,V1.UC37.0,V1.UC38.0,V1.UC39.0,V1.UC4.0,V1.UC4.5,V1.UC40.0,V1.UC41.0,V1.UC42.0,V1.UC43.0,V1.UC44.0,V1.UC45.0,V1.UC46.0,V1.UC47.0,V1.UC48.0,V1.UC49.0,V1.UC49.1,V1.UC5.0,V1.UC5.3,V1.UC50.1,V1.UC51.0,V1.UC51.4,V1.UC52.0,V1.UC52.1,V1.UC53.0,V1.UC53.4,V1.UC54.0,V1.UC55.0,V1.UC55.4,V1.UC56.0,V1.UC57.0,V1.UC58.0,V1.UC6.0,V1.UC61.0,V1.UC62.0,V1.UC7.0,V1.UC8.0,V1.UC9.0
Disease,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,C,C,UC,UC,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,UC,UC,CD,CD,C,CD,C,C,CD,CD,C,CD,CD,CD,CD,C,C,CD,CD,CD,C,C,CD,CD,C,C,C,C,C,C,C,CD,CD,C,C,C,CD,C,CD,CD,CD,CD,C,C,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,C,UC,UC,C,C,UC,UC,UC,UC,UC,UC,C,UC,UC,UC,UC,C,C,C,UC,UC,C,UC,UC,C,C,C,UC,UC,C,C,UC,UC,UC,UC,UC,C,C,C,C,UC,C,UC,C,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,C,UC,C,C,C,C,C,C
V1.UC9.0__NODE_6_length_80831_cov_1.98712__44248__nrps__ANTISMASH__3056_47304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97218751032375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56119058653373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64981200790591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.8988854921464
V1.UC9.0__NODE_2_length_137022_cov_1.97144__18483__lantipeptide__ANTISMASH__0_18483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1330496612029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54817977119756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06353696660768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.2284957072613
V1.UC62.0__NODE_73_length_130004_cov_11.0735__44341__nrps__ANTISMASH__4183_48524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02523602427523,0,0,0,0,0,0,0,0.407070808261866,0,0.609705515391453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626910267654298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502383566716124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82909216158411,0,0,0
V1.UC62.0__NODE_5019_length_8060_cov_2.68332__8060__other__ANTISMASH__0_8060,0,0,0,7.41876671538047,0,0,0,1.53395145370865,0,0.488184545010479,0,0,0,0,0,0,0,0,1.10950553723944,2.18168170266243,0,0,0,1.47872426995996,0,4.53419388780917,0,0,0,0,0,0,0,0,0,0,3.62933932609536,8.43036845752163,0,0,0,1.66719180280054,0,0,1.40440597569011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2904751083833,0,0,0,0,2.23885755726157,1.27440509040173,0,0,1.82358417698475,1.40948188385697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45786899246401,0,0,0,0,0,2.85491097666433,0,0,0,0,3.72617668973098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53386044094842,3.36487249995279,2.85191947558439,3.31254071965859,0,0,0,0,0,2.51201896706376,0,0,0,0,0,0,0,0,0,0,0.671943747667232,0,0,0,10.0959831168968,11.1265685711941,0,0,0,2.75288120951998,0,0,1.52232266124354,2.06853691874609,0,0,0,0,0,0,0,0,1.2913990031852,0,0,0,0,3.93917735526606,0,0,0,0,0,1.40188487867576,1.5920453427187,0,0,1.20338052555067,0,0,0,0,0,0,0,0,0,0,2.42071665301958,0,0.77461806825059,0,0,1.40887265203918,0,0,0
V1.UC62.0__NODE_4713_length_8599_cov_1.84925__8599__nrps__ANTISMASH__0_8599,0,0,0,1.00004278117153,0,0,0,0,0,0,0,0.36258027989451,3.59412709946556,2.83708259421568,0,0,0,0,0.330610974034388,1.09932871848891,0,0,0,0,0,0.382807174146213,0,0,0,0,0,0,0.308282229521332,0,0,0,0.481824361881832,0.242026060460937,0,0,0.2472314451896,0,0,0,0,0.528180599493887,0.504318664298971,0,0,1.16238371804698,1.42894998667797,0.539158669886427,0.654637495690147,0,0,0.505556444437304,0.44560286709869,0.310656067162504,0,0.521573315659785,0.380873771385223,0,0.25551625756113,1.04355371162235,0.221555485654835,0,0,0,0,4.32838331406682,0,0,0,0.222421994158229,0.342423216697835,0.24182058100175,0,0,0,0.967369162148396,0.263131251727117,0.249418992665335,0,0,0,0,0,0.20994821303079,0,0.29646817750953,0.315750178936924,0.781318762435999,0.880579289101323,0,0.266454868647483,0.203772181019326,0.473555782740685,0,0,9.66019143800843,0,0,0,0,0,0.396944732621297,3.4188646746164,4.07311084419347,0,2.79641938696907,1.0398017098933,0,0.768385876314302,0,0.672785335604192,0.163638780778334,0,2.28428915100943,3.75533718999053,1.06955039477461,0,0.521515537021983,0,0.233230307259751,0,0.501529759051209,0,0,2.76928950854128,0.378731469043168,0,1.73800228989692,0.397752167300109,0,0.884701275306713,0,0,0,0,0.522669150189106,0,0.427790047808749,0,0,0,0.679399693431736,0,0,0,0,0,0,0,0,0,0,0,0,0.899655048143388,0,0,0.948622405175476,0.51264839128651,0.478696687950356,1.10209622489913,4.72054672536127,0,0,0.309156057740503,0.345144536882847,0,0,0,0,0,0.239978943181562,0.771455391637752,0,0,0.755016905962862,0,0,0,0.344121782917533,0,0.284768276793598,0.188939203378922,0,0,0,0,0.247892644900604,0,0.386434024268137,0,0.579056285960119,0.553540608124889,0,1.77693400187708,0.642273670203701,0,0.913536582461187,0.579382413293321,0.419799916650931,0.14753507458529,0.550172419549203,0.425702331035408,0.313410515290413,0,0,0.270369350541258,0.410025130803158,0.415597539336953,0,0.172245721824074,0.890284170652344,1.88239018695625,0,0
V1.UC62.0__NODE_383_length_65807_cov_10.8289__43303__nrps__ANTISMASH__0_43303,0,1.761648405679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8701308869233,0,0,0,0,0,1.33453295889636,1.76957595743516,0,0,0,0,0,0,0,0,0,0,0.436091712535764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4681255796568,0,0,0,0,0,0,0,0.353343967441815,0,0,0,0.828245093954169,2.94115374305596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61794824719328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71232501852504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77520433117087,0,0,0
V1.UC62.0__NODE_31_length_180575_cov_19.4374__62233__nrps-ladderane__ANTISMASH__16961_79194,0,0.356958299207288,0,0,0,0,3.08954704687872,0.725909059213987,0,0,0,0,0,0,0,1.04826965283094,0,0,12.5868183021594,0,0,0,0,9.33167575581384,0,1.73697418624596,0,0,0,4.25459220914134,0,0,0,0,0,0,16.5988802292137,9.6212578473273,0,0,10.380222238661,0,0,0,0,0,8.36966610804003,7.27630072921302,0,0,0,2.90137407113868,2.41473025622496,0,2.29389795193967,0.402328842770941,4.51962628294,0,10.345260374166,0,0,2.49489169020493,2.15733635900481,0,0,3.38258400189466,2.53841850923894,4.72032558556063,0,0,1.90574683023006,0,0,0,0,7.54399976736384,7.15074368784774,0,0,6.71840069016739,3.85783055221807,8.22204191852723,6.3343562776621,6.84983474223657,5.63109742203567,6.92097747224232,5.88680270508862,5.79501012887809,3.9369854494998,1.13204929343343,4.03139549481852,3.70101237987544,7.67980701196627,17.144043201686,5.83137096649976,0,0,0,0,0,0,0,0,0,0,10.8840300731554,0,0,0,0,5.07694566719309,0,0,0,0,2.56779567482201,7.55051921018989,0,4.64769396174722,9.31393312108686,0,0,4.78697784946166,1.10198003946498,24.3611647714134,0,0,0,2.44550505983997,0.523756755539443,2.55000076241753,0,0,0,0,0,1.69756780010036,0,8.40087538967861,0,5.58238683715956,0,0,0,0,0,2.32867528290223,10.0023305783224,3.7104717364889,0.146221186322627,0,6.17677164280608,0,0,1.82354581923252,0,0,0,0,0,0,8.45663573464794,9.92547653938406,1.92702488257108,0,3.08162977201439,4.99520403971978,0.62330081946383,1.31727180219886,0.608873579023008,2.98086588828137,0,0,32.346971031831,0,0,0,7.458661256926,4.42050047458588,0.479534372007132,0,0,0,0,0,0,0,2.12448560316232,1.52136989783425,6.92672784219136,6.15914063020217,4.59543027773616,6.46731609280131,5.16470233801725,2.38684745257975,2.71190064501288,2.43318145702075,2.59306780474409,0,0,0,1.50892748932794,3.99905599333494,0.390525747541386,9.30139127307367,0,0,0,6.98173464443558,0,0,0.200145444623989,5.96833007307573,0,1.93099421404193,8.92427130941129,0,13.1367361677108,0
V1.UC62.0__NODE_2381_length_16998_cov_3.90916__14919__lantipeptide__ANTISMASH__2079_16998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12257920516114,3.3442102474925,0,0,0,0,0,0,0,0,0,0,1.75342543366344,0.369677161381036,0,0.294342494846865,0,0,1.70719303442567,0,0,0,0,0,0,0.257394316198646,0.645630271745468,0.401270615910581,1.58121130539919,1.98856080435511,0,0,0.356742095943199,0.39163526576453,0,0,0,0,0,0,0,0,0,0.954963566469736,0.432898578252914,0,0,0.329994950014235,0,0,0,0.727744398128472,0.417958689240441,1.27094207894743,1.16287768261565,0,0,0,0,0.471815794782102,0.379352043525891,0.514635072724168,0.240618652395746,0,0,0,0.456147808670117,0,0.471752115330393,0,0,0,0,0,0,0,0,0.682689933756946,0,0.624276877367783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196835486307747,0,0,0,0,0.406805813354948,0.570690607171137,0,0,0,0,0.275635966544635,0,0.403287233486145,0,0,0.453016662854693,0,0,2.00288407951165,0,0.199668954337944,0,0,0,0,0,0,3.12616025649103,1.48795057243118,1.23607330572322,0.902392611160844,0,0,0,0,0,0,0,0,0,0.915241709671269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321645107693521,0,0,0,0.565743924832081,0.671834417303156,0,0,0,0,1.10649455876852,0,0.830061269590914,0,0,0.309099982892644,0.224207139513913,0,0,1.36843446918516,1.14615986925081,0.62325303759332,0,0,0,0.485657695003631,0.546371832419591,0,0,0,0,0.412696183000688,1.01315189886603,0.454385703379598,0.512902164984712,0,0,0,0.275367333530107,0.43180508857784,0,0,0,0,0,2.15537341178632,0,0,0
V1.UC62.0__NODE_2107_length_19098_cov_11.6675__19098__resorcinol__ANTISMASH__0_19098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42605666002769,0,0,0
