sseqid	slen	sstart	send	qseqid	qlen	qstart	qend	pident	evalue	Sample
I326_1_FC30VYFAAXX:4:35:1133:1081/2	53	53	1	smNRPS-CC	5875	617	669	98.113	4.96e-17	V1.CD1.0
I326_1_FC30VYFAAXX:4:48:1318:1148/2	41	41	1	smNRPS-CB	5945	1913	1953	100	5.05e-12	V1.CD1.0
I58_1_FC30VGCAAXX:5:45:194:2033/2	43	1	43	smNRPS-CB	5945	5596	5638	100	3.91e-13	V1.CD1.0
I326_1_FC30VYFAAXX:4:71:1400:1054/2	43	43	1	smNRPS-CB	5945	3286	3328	100	3.91e-13	V1.CD1.0
I58_1_FC30VGCAAXX:5:31:145:1008/1	49	49	1	smNRPS-CB	5945	1915	1963	97.959	8.4e-15	V1.CD1.0
I58_1_FC30VGCAAXX:5:21:180:1206/2	54	1	54	smNRPS-CB	5945	4582	4635	100	3e-19	V1.CD1.0
FC615DRAAXX:2:67:7229:6654#0/2	57	29	57	smNRPS-CC	5875	1	29	100	1.33e-4	V1.CD10.0
FC615DRAAXX:2:82:3053:21114#0/2	42	1	39	smNRPS-CC	5875	1178	1216	97.436	1.7e-8	V1.CD10.0
FC615DRAAXX:2:117:11898:18621#0/2	39	1	39	smNRPS-CC	5875	1067	1105	97.436	1.7e-8	V1.CD10.0
FC615DRAAXX:2:8:17462:17156#0/1	40	1	40	smNRPS-CC	5875	1227	1266	97.5	4.73e-9	V1.CD10.0
FC615DRAAXX:2:55:13159:18008#0/2	40	40	1	smNRPS-CC	5875	4573	4612	97.5	4.73e-9	V1.CD10.0
FC615DRAAXX:2:102:6399:8570#0/1	39	1	39	smNRPS-CC	5875	1259	1297	100	3.66e-10	V1.CD10.0
FC615DRAAXX:2:34:5938:8226#0/2	41	1	41	smNRPS-CC	5875	1870	1910	100	2.83e-11	V1.CD10.0
FC615DRAAXX:2:51:6668:2565#0/2	41	41	1	smNRPS-CC	5875	403	443	100	2.83e-11	V1.CD10.0
FC615DRAAXX:2:55:8822:16666#0/2	41	1	41	smNRPS-CC	5875	1724	1764	100	2.83e-11	V1.CD10.0
FC615DRAAXX:2:62:7725:6873#0/1	41	41	1	smNRPS-CC	5875	5565	5605	100	2.83e-11	V1.CD10.0
FC615DRAAXX:2:91:4212:2373#0/2	41	41	1	smNRPS-CC	5875	960	1000	100	2.83e-11	V1.CD10.0
FC615DRAAXX:2:9:19179:12160#0/2	42	1	42	smNRPS-CC	5875	3385	3426	100	7.87e-12	V1.CD10.0
FC615DRAAXX:2:84:17946:14182#0/2	42	1	42	smNRPS-CC	5875	3997	4038	100	7.87e-12	V1.CD10.0
FC615DRAAXX:2:64:6737:19678#0/1	45	45	1	smNRPS-CC	5875	5485	5529	97.778	7.87e-12	V1.CD10.0
FC615DRAAXX:2:85:18968:18425#0/1	42	1	42	smNRPS-CC	5875	2140	2181	100	7.87e-12	V1.CD10.0
FC615DRAAXX:2:97:14919:10964#0/1	46	1	46	smNRPS-CC	5875	3239	3284	97.826	2.19e-12	V1.CD10.0
FC615DRAAXX:2:27:5352:17907#0/2	47	1	44	smNRPS-CC	5875	1094	1137	100	6.08e-13	V1.CD10.0
FC615DRAAXX:2:90:7268:2661#0/1	47	47	1	smNRPS-CC	5875	2549	2595	97.872	6.08e-13	V1.CD10.0
FC615DRAAXX:2:1:16063:20602#0/2	45	45	1	smNRPS-CC	5875	5564	5608	100	1.69e-13	V1.CD10.0
FC615DRAAXX:2:67:4535:13802#0/2	45	1	45	smNRPS-CC	5875	2352	2396	100	1.69e-13	V1.CD10.0
FC615DRAAXX:2:72:2799:10740#0/1	45	45	1	smNRPS-CC	5875	1891	1935	100	1.69e-13	V1.CD10.0
