BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum
C2068__NODE_256_length_17003_cov_6.59181__17003__lantipeptide__ANTISMASH__0_17003,2.36907303568,-,-,-,0.463071015015418,NZ_BCYC01000013,Bifidobacterium pseudocatenulatum,Actinobacteria
C6033__NODE_63_length_70205_cov_15.7976__45550__nrps__ANTISMASH__7993_53543,2.53147991433,-,-,-,0.298378091818366,N/A,N/A,Unassigned
C3011__NODE_4633_length_8349_cov_4.692187__8349__other__ANTISMASH__0_8349,2.69577323327,Ulcerative colitis,2.92211849255,0.00212022430358,0.00212022430358287,N/A,N/A,Unassigned
C5002__NODE_779_length_19114_cov_5.7067__19114__nrps__ANTISMASH__0_19114,2.82368008076,-,-,-,0.909472193267081,NZ_ADJD01000023,Escherichia coli H305,Proteobacteria
C3005__NODE_1446_length_20102_cov_52.371277__20102__arylpolyene__ANTISMASH__0_20102,2.8111732569,-,-,-,0.165151470769522,NZ_KE702211,Escherichia coli UMEA 3257-1,Proteobacteria
C2060__NODE_21_length_104722_cov_19.3019__42199__ladderane__ANTISMASH__53743_95942,2.19697298492,-,-,-,0.146747535018607,NZ_OLKO01000022,Ruminococcus bromii L2-63,Firmicutes
C4009__NODE_2902_length_11440_cov_6.60791__11440__nrps__ANTISMASH__0_11440,0,-,-,-,-,N/A,N/A,Unassigned
C3022__NODE_1143_length_16972_cov_13.8822__16972__microcin__ANTISMASH__0_16972,4.51567857365,-,-,-,0.46267979837617,NZ_GG692718,Roseburia intestinalis L1-82,Firmicutes
C4044__NODE_557_length_13259_cov_5.315738__13259__arylpolyene__ANTISMASH__0_13259,4.61543243664,-,-,-,0.468359973959686,NZ_CP012938,Bacteroides ovatus,Bacteroidetes
C4006__NODE_23_length_187868_cov_38.747__12988__lantipeptide__ANTISMASH__174880_187868,2.69813022446,-,-,-,0.448860001549864,NZ_CYXV01000003,Roseburia faecis,Firmicutes
C3022__NODE_1_length_361945_cov_17.4608__47686__arylpolyene__ANTISMASH__48835_96521,2.66736032708,-,-,-,0.0127646167022794,N/A,N/A,Unassigned
C4013__NODE_62_length_59138_cov_9.20126__23359__lassopeptide__ANTISMASH__35779_59138,2.71095397581,-,-,-,0.802802470233883,N/A,N/A,Unassigned
C6009__NODE_3449_length_10405_cov_35.6998__10405__resorcinol__ANTISMASH__0_10405,2.90234253369,-,-,-,0.336149249080759,N/A,N/A,Unassigned
C4022__NODE_2044_length_6009_cov_3.58247__6009__lantipeptide__ANTISMASH__0_6009,4.13853287929,-,-,-,0.142641524244835,NZ_CALH01000113,Bifidobacterium longum subsp. longum CECT 7347,Actinobacteria
C2091__NODE_213_length_25719_cov_11.030860__25719__nrps__ANTISMASH__0_25719,3.1876236752,-,-,-,0.172954917988916,NZ_DS480328,Clostridium sp. L2-50,Firmicutes
C3004__NODE_174_length_80204_cov_9.614056__42733__nrps__ANTISMASH__37471_80204,2.07119516433,-,-,-,0.516006760824141,NZ_LN999827,Clostridium sp. AT4,Firmicutes
