BGC_NAME,TAXA_NAME,ACC_ID,PERC_IDENT,COVERAGE,ORGANISM,PHYLUM,Manual_PHYLUM,Manual_ORGANISM
C2008__NODE_2631_length_9349_cov_5.18991__9349__bacteriocin__ANTISMASH__0_9349,"Klebsiella pneumoniae strain 4182 NODE_215_length_9294_cov_51.418118, whole genome shotgun sequence",NZ_MZZR01000146,99.968,100,N/A,N/A,Proteobacteria,Klebsiella pneumoniae
C2008__NODE_2704_length_9059_cov_96.1277__9059__bacteriocin__ANTISMASH__0_9059,"Dakarella massiliensis strain ND3, whole genome shotgun sequence",NZ_CVTY01000007,98.133,91,N/A,N/A,Proteobacteria,Dakarella massiliensis
C2008__NODE_3437_length_6943_cov_3.34538__6943__arylpolyene__ANTISMASH__0_6943,"Dakarella massiliensis strain ND3, whole genome shotgun sequence",NZ_CVTY01000007,94.554,99,N/A,N/A,Proteobacteria,Dakarella massiliensis
C2010__NODE_10_length_210863_cov_48.926__10867__bacteriocin__ANTISMASH__25278_36145,"Clostridium lavalense strain KCTC 15153 scaffold_19, whole genome shotgun sequence",NZ_PYII01000020,97.414,73,Clostridium lavalense,Firmicutes,,
C2010__NODE_33_length_145162_cov_71.7332__43588__arylpolyene__ANTISMASH__21297_64885,"Escherichia coli strain MGH130 scaffold00001, whole genome shotgun sequence",NZ_NGRY01000001,100,99,Escherichia coli,Proteobacteria,,
C2010__NODE_104_length_95474_cov_20.6086__22877__lantipeptide__ANTISMASH__53208_76085,"Clostridiales bacterium VE202-27, whole genome shotgun sequence",NZ_BAIJ02000157,90.496,58,N/A,N/A,Firmicutes,Clostridiales bacterium VE202-27
C2010__NODE_334_length_55597_cov_71.0921__22916__lantipeptide__ANTISMASH__14004_36920,"Clostridium sp. KLE 1755 Scaffold15, whole genome shotgun sequence",NZ_KE992653,91.536,81,Clostridium sp. KLE 1755,Firmicutes,,
C2010__NODE_597_length_37158_cov_15.9471__35991__nrps__ANTISMASH__1167_37158,"Klebsiella pneumoniae strain AUH-KIMP300 NODE_16_length_96876_cov_70.6639_ID_3755, whole genome shotgun sequence",NZ_NICR01000016,99.775,99,Klebsiella pneumoniae,Proteobacteria,,
C2010__NODE_694_length_33476_cov_21.6485__32936__nrps__ANTISMASH__540_33476,"Clostridiales bacterium VE202-27, whole genome shotgun sequence",NZ_BAIJ02000004,91.674,69,N/A,N/A,Firmicutes,Clostridiales bacterium VE202-27
C2010__NODE_855_length_28604_cov_7.79964__27862__nrps__ANTISMASH__742_28604,"Clostridiales bacterium 1_7_47FAA strain 1_7_47_FAA supercont2.1, whole genome shotgun sequence",NZ_DS990260,90.061,68,Clostridiales bacterium 1_7_47FAA,Firmicutes,,
C2010__NODE_3541_length_8103_cov_5.16252__8103__nrps__ANTISMASH__0_8103,"Ruminococcus sp. 5_1_39BFAA acpfZ-supercont2.3, whole genome shotgun sequence",NZ_ACII02000003,98.46,59,Ruminococcus sp. 5_1_39BFAA,Firmicutes,,
C2014__NODE_22_length_247082_cov_60.9883__48302__arylpolyene__ANTISMASH__192556_240858,"Prevotella sp. MSX73 ctg120008288340, whole genome shotgun sequence",NZ_ALJQ01000038,98.99,100,N/A,N/A,Bacteroidetes,Prevotella sp. MSX73
C2014__NODE_33_length_227233_cov_11.2933__52367__nrps__ANTISMASH__796_53163,"Holdemania sp. Marseille-P2844, whole genome shotgun sequence",NZ_LT635451,99.661,100,N/A,N/A,Firmicutes,Holdemania sp. Marseille-P2844
C2014__NODE_44_length_203043_cov_77.7576__10274__microcin__ANTISMASH__192769_203043,"Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence",NZ_GG698602,99.066,99,Dialister invisus DSM 15470,Firmicutes,,
C2014__NODE_315_length_73082_cov_150.2__10813__bacteriocin__ANTISMASH__32481_43294,"Holdemania sp. Marseille-P2844, whole genome shotgun sequence",NZ_LT635449,98.058,74,N/A,N/A,Firmicutes,Holdemania sp. Marseille-P2844
C2014__NODE_548_length_50682_cov_45.8883__22967__lantipeptide__ANTISMASH__1328_24295,"Clostridiales bacterium VE202-27, whole genome shotgun sequence",NZ_BAIJ02000157,98.128,99,N/A,N/A,Firmicutes,Clostridiales bacterium VE202-27
C2014__NODE_641_length_44783_cov_44.4325__32959__nrps__ANTISMASH__0_32959,"Eisenbergiella massiliensis strain AT11, whole genome shotgun sequence",NZ_LT969518,98.466,99,N/A,N/A,Firmicutes,Eisenbergiella massiliensis
C2014__NODE_1631_length_21938_cov_7.53265__21938__nrps__ANTISMASH__0_21938,"Pseudoflavonifractor sp. Marseille-P3106, whole genome shotgun sequence",NZ_LT827123,99.717,99,N/A,N/A,Firmicutes,Pseudoflavonifractor sp. Marseille-P3106
C2014__NODE_1940_length_19065_cov_6.85302__19065__nrps__ANTISMASH__0_19065,"Clostridiales bacterium 1_7_47FAA strain 1_7_47_FAA supercont2.1, whole genome shotgun sequence",NZ_DS990260,90.448,55,Clostridiales bacterium 1_7_47FAA,Firmicutes,,
C2014__NODE_2026_length_18364_cov_274.623__18364__nrps__ANTISMASH__0_18364,"Ruminococcus sp. 5_1_39BFAA acpfZ-supercont2.3, whole genome shotgun sequence",NZ_ACII02000003,98.362,95,Ruminococcus sp. 5_1_39BFAA,Firmicutes,,
C2014__NODE_2216_length_16889_cov_9.24355__16889__nrps__ANTISMASH__0_16889,"Blautia obeum strain 2789STDY5834957, whole genome shotgun sequence",NZ_CZBP01000019,99.585,99,Blautia obeum,Firmicutes,,
