Sample	GroupAttribute
O2.UC49.0	0
O2.UC53.2	0
O2.UC58.0	0
V1.CD16.0	0
V1.CD30.0	0
V1.UC16.0	0
V1.UC33.0	0
V1.UC48.0	0
O2.UC49.2	0
O2.UC54.0	0
O2.UC58.2	0
V1.CD19.0	0
V1.CD31.0	0
V1.UC18.0	0
V1.UC34.0	0
V1.UC57.0	0
O2.UC50.0	0
O2.UC54.2	0
O2.UC59.0	0
V1.CD2.0	0
V1.CD34.0	0
V1.UC19.0	0
V1.UC36.0	0
V1.UC6.0	0
O2.UC50.2	0
O2.UC55.0	0
O2.UC59.2	0
V1.CD22.0	0
V1.CD36.0	0
V1.UC24.0	0
V1.UC37.0	0
V1.UC61.0	0
O2.UC51.0	0
O2.UC55.2	0
O2.UC60.0	0
V1.CD24.0	0
V1.CD38.0	0
V1.UC27.0	0
V1.UC41.0	0
V1.UC62.0	0
O2.UC51.2	0
O2.UC56.0	0
O2.UC60.2	0
V1.CD27.0	0
V1.CD4.0	0
V1.UC28.0	0
V1.UC42.0	0
V1.UC7.0	0
O2.UC52.0	0
O2.UC56.2	0
V1.CD11.0	0
V1.CD28.0	0
V1.CD42.0	0
V1.UC29.0	0
V1.UC43.0	0
V1.UC8.0	0
O2.UC52.2	0
O2.UC57.0	0
V1.CD13.0	0
V1.CD29.0	0
V1.CD8.0	0
V1.UC30.0	0
V1.UC44.0	0
V1.UC9.0	0
O2.UC53.0	0
O2.UC57.2	0
V1.CD14.0	0
V1.CD3.0	0
V1.CD9.0	0
V1.UC32.0	0
V1.UC46.0	0
O2.UC1.0	1
O2.UC19.0	1
O2.UC27.0	1
O2.UC36.2	1
O2.UC46.2	1
V1.UC13.0	1
V1.UC26.0	1
V1.UC49.1	1
O2.UC11.0	1
O2.UC19.2	1
O2.UC27.2	1
O2.UC37.0	1
O2.UC47.0	1
V1.UC13.3	1
V1.UC26.4	1
V1.UC5.0	1
O2.UC11.2	1
O2.UC2.0	1
O2.UC29.0	1
O2.UC37.2	1
O2.UC47.2	1
V1.UC14.0	1
V1.UC3.0	1
V1.UC50.1	1
O2.UC1.2	1
O2.UC20.0	1
O2.UC29.2	1
O2.UC38.0	1
O2.UC48.0	1
V1.UC14.1	1
V1.UC31.0	1
V1.UC51.0	1
O2.UC12.0	1
O2.UC20.2	1
O2.UC3.0	1
O2.UC38.2	1
O2.UC48.2	1
V1.UC15.0	1
V1.UC31.4	1
V1.UC51.4	1
O2.UC12.2	1
O2.UC21.0	1
O2.UC30.0	1
O2.UC4.0	1
O2.UC5.0	1
V1.UC15.3	1
V1.UC3.2	1
V1.UC52.0	1
O2.UC13.0	1
O2.UC21.2	1
O2.UC30.2	1
O2.UC40.0	1
O2.UC5.2	1
V1.UC17.0	1
V1.UC35.0	1
V1.UC52.1	1
O2.UC13.2	1
O2.UC2.2	1
O2.UC31.0	1
O2.UC40.2	1
O2.UC9.0	1
V1.UC17.2	1
V1.UC35.4	1
V1.UC5.3	1
O2.UC14.0	1
O2.UC22.0	1
O2.UC31.2	1
O2.UC41.0	1
O2.UC9.2	1
V1.UC2.0	1
V1.UC38.0	1
V1.UC53.0	1
O2.UC14.2	1
O2.UC22.2	1
O2.UC3.2	1
O2.UC41.2	1
V1.UC1.0	1
V1.UC21.0	1
V1.UC39.0	1
V1.UC53.4	1
O2.UC16.0	1
O2.UC23.0	1
O2.UC32.0	1
O2.UC4.2	1
V1.UC10.0	1
V1.UC21.4	1
V1.UC4.0	1
V1.UC54.0	1
O2.UC16.2	1
O2.UC23.2	1
O2.UC32.2	1
O2.UC43.0	1
V1.UC10.2	1
V1.UC23.0	1
V1.UC40.0	1
V1.UC55.0	1
O2.UC17.0	1
O2.UC24.0	1
O2.UC34.0	1
O2.UC43.2	1
V1.UC11.0	1
V1.UC23.1	1
V1.UC4.5	1
V1.UC55.4	1
O2.UC17.2	1
O2.UC24.2	1
O2.UC34.2	1
O2.UC44.0	1
V1.UC11.5	1
V1.UC2.4	1
V1.UC45.0	1
V1.UC56.0	1
O2.UC18.0	1
O2.UC26.0	1
O2.UC35.0	1
O2.UC44.2	1
V1.UC12.0	1
V1.UC25.0	1
V1.UC47.0	1
V1.UC58.0	1
O2.UC18.2	1
O2.UC26.2	1
O2.UC35.2	1
O2.UC46.0	1
V1.UC12.4	1
V1.UC25.1	1
V1.UC49.0	1
