Sample	CSM5FZ3N	CSM5FZ3R	CSM5FZ3T	CSM5FZ3V	CSM5FZ3X	CSM5FZ3Z	CSM5FZ42	CSM5FZ44	CSM5FZ46	CSM5FZ4C	CSM5LLGB	CSM5MCU4	CSM5MCV1	CSM5MCV5	CSM5MCVB	CSM5MCVD	CSM5MCVF	CSM5MCVJ	CSM5MCVV	CSM5MCVZ	CSM5MCW4	CSM5MCWA	CSM5MCWI	CSM5MCWK	CSM5MCXF	CSM5MCXX	CSM5MCXZ	CSM5YRY7	CSM67U9V	CSM67U9X	CSM67UAI	CSM67UB5	CSM67UB7	CSM67UB9	CSM67UCU	CSM6J2H9	CSM79HG7	CSM79HGR	CSM79HGV	CSM79HH2	CSM79HHW	CSM79HJ2	CSM79HJ4	CSM79HJ6	CSM79HJ8	CSM79HJC	CSM79HJI	CSM79HNY	CSM7CZ2F	CSM7KOKH	CSM7KOKL	CSM7KOKP	CSM7KOQP	CSM7KOQZ	CSM7KOR4	CSM7KOR8	ESM5GEYU	ESM5GEYW	ESM5GEYX	ESM5GEYY	ESM5GEZ1	ESM5GEZ3	ESM5ME9D	ESM5ME9G	ESM5ME9H	ESM5MEB9	ESM5MEBA	ESM5MEBP	ESM5MEDP	ESM5MEDZ	ESM5MEE2	ESM5MEE6	ESM718U9	ESM7F5AE	HSM5FZBP	HSM5FZBQ	HSM5FZBR	HSM5FZC2	HSM5MD3L	HSM5MD49	HSM5MD4A	HSM5MD4B	HSM5MD4P	HSM5MD4U	HSM5MD4W	HSM5MD57	HSM5MD59	HSM5MD5B	HSM5MD5D	HSM5MD5F	HSM5MD5H	HSM5MD5K	HSM5MD5X	HSM5MD5Z	HSM5MD6E	HSM5MD6I	HSM5MD6K	HSM5MD6O	HSM5MD6S	HSM5MD6U	HSM5MD7W	HSM5MD7Z	HSM5MD82	HSM5MD8A	HSM5MD8B	HSM5MD8D	HSM5MD8F	HSM5MD8H	HSM5MD8J	HSM5MD8L	HSM5MD8N	HSM5MD8P	HSM5MEE5	HSM67VCX	HSM67VDR	HSM67VDT	HSM67VDX	HSM67VFX	HSM67VG2	HSM67VG6	HSM67VGA	HSM67VGE	HSM67VGI	HSM67VIJ	HSM6XRQB	HSM6XRQC	HSM6XRSX	HSM6XRSZ	HSM6XRT2	HSM6XRT4	HSM6XRT6	HSM6XRTA	HSM6XRTC	HSM6XRTE	HSM6XRTG	HSM7CYWS	HSM7CYYR	HSM7CYYV	HSM7CYYZ	HSM7CZ2J	HSM7CZ2L	HSM7CZ2V	HSM7J4JW	HSM7J4Q3	HSMA33J1	HSMA33NG	MSM5FZ9N	MSM5FZ9Q	MSM5FZ9V	MSM5FZ9X	MSM5FZA2	MSM5LLD6	MSM5LLE3	MSM5LLE9	MSM5LLF2	MSM5LLFG	MSM5LLGD	MSM5LLGF	MSM5LLGH	MSM5LLGJ	MSM5LLGN	MSM5LLGR	MSM5LLH2	MSM5LLH4	MSM5LLH8	MSM5LLHA	MSM5LLHG	MSM5LLHI	MSM5LLHO	MSM5LLHQ	MSM5LLHR	MSM5LLHX	MSM5LLI2	MSM5LLI4	MSM5LLI6	MSM5LLI8	MSM5LLIC	MSM5LLIE	MSM5LLIG	MSM5LLII	MSM5LLIK	MSM5LLIM	MSM5LLIS	MSM5ZOJY	MSM633FF	MSM6J2JF	MSM6J2JH	MSM6J2M3	MSM6J2PQ	MSM6J2RG	MSM79H52	MSM79H8J	MSM79H94	MSM79HBX	MSM79HCN	MSM9VZFJ	MSM9VZJJ	MSM9VZLX	MSM9VZM4	MSM9VZMQ	PSM6XBQM	PSM6XBRK	PSM6XBRM	PSM6XBS2	PSM6XBS4	PSM6XBSC	PSM6XBTF	PSM6XBTH	PSM6XBTJ	PSM6XBTN	PSM6XBTZ	PSM6XBVY	PSM7J13U	PSM7J13Y	PSM7J143	PSM7J149	PSM7J19X	PSM7J1B3	PSM7J1BN	PSM7J1CK	PSM7J1CS	PSMA2651
Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Healthy control	Crohn's Disease	Healthy control	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Healthy control	Healthy control	Healthy control	Crohn's Disease	Healthy control	Healthy control	Healthy control	Crohn's Disease	Healthy control	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Healthy control	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease	Crohn's Disease
C6033__NODE_74_length_65062_cov_18.6386__47783__arylpolyene__ANTISMASH__13014_60797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.496788317	0	2.543246572	0	0.960043195	3.918484009	0	0	0	0	0	0	0	4.91544523	5.862342378	3.776894234	0	0	7.339447218	5.970406488	0	0	0	0	1.612969547	9.72551121	0	0	0	3.66791247	0	0	0	0	0	0	0	0	3.85925317	0	0	3.937447449	2.075128172	0	0.957005929	2.975378166	0	2.027430849	9.303511524	14.96903031	8.478871961	1.7515614	0	4.460982602	0	3.089252819	5.636951781	11.24519006	0	0	0	8.290681924	0	0	0	0	0	0	0	3.430427507	0	17.64778309	0	10.85790535	5.132788009	5.476016294	0	0	2.841177577	1.370244356	7.371174622	9.685648808	0	4.111533489	1.732733755	0	4.62292455	0	2.746778267	16.06883865	2.928613792	12.59149701	17.2380461	0	6.689025236	11.04636682	0	0	0	9.121483751	2.518208306	9.540248302	1.145214243	0	0	0	0	0	0	0	6.826677619	1.184209332	5.337469194	2.624248986	2.076436615	6.090807346	5.137120929	4.194769195	0	0	12.86478859	2.212434306	0	0	10.60950241	0	0	0	0	0	2.27490244	0	0	2.184262495	0	0	0	0	0	0	0	0	0	0	0	0.57622367	2.674334295	0	3.077745956	0	3.462833973	4.675342447	1.800209712	4.848497215	6.049224338	1.388541847	0	0	0	0	0	0	0	0	3.050630866	0	2.309913263	0	4.233352758	0	0	0	0	0	5.446142295	4.140415171	0	0	5.762456254	11.20407398	1.26516124	18.17332905	0	0	0	0	0	0	1.045647679	1.502772188	4.995630108	0	0	0	0	0	1.138215747	0	0	0	15.60897825
C6033__NODE_63_length_70205_cov_15.7976__45550__nrps__ANTISMASH__7993_53543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.06283046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.36473426
C6033__NODE_298_length_27811_cov_17.7013__27811__resorcinol__ANTISMASH__0_27811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.67789354
C6028__NODE_655_length_10036_cov_6.11802__10036__siderophore__ANTISMASH__0_10036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.36135501	1174.708794	0	0	0	0
C6028__NODE_585_length_11015_cov_277.86__11015__nrps-t1pks__ANTISMASH__0_11015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.766326902	1144.545792	0	0	0	0
C6028__NODE_10_length_182917_cov_26.4625__65320__nrps-t1pks__ANTISMASH__0_65320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92779531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.749642373	0	0	0	1.982909042	0	0	0	0	0	0	0	0	0	0	0	4.050288418	0	2.298443037	0	0	0.349891437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.696064048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753192174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779424239	0	0	0	0	0	0	0	0	0	0	0	0	2.419624537	0	0	0	0	0	0	0	1.238013183	0	0	0.962340947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.055791408	27.05484829	0	0	0	0
C6024__NODE_106_length_12932_cov_8.40009__12932__siderophore__ANTISMASH__0_12932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.089489616	0	0	0	0	0	0	0	2.200876243	0	0	10.649233	0	0	0	0	0	0	0	0	0	0	2.355429202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.622504185	0	0	0	0.829454203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52145068	0	0	0	0	0	0	0	0	0	0	2.911966376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1958.148974	0	0	0
C6018__NODE_72_length_22705_cov_9.57422__22705__bacteriocin__ANTISMASH__0_22705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.57653248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1102.538351	0	0	0	0	0
C6018__NODE_608_length_6676_cov_6.59039__6676__bacteriocin__ANTISMASH__0_6676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.14123248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.798475713	0	0	0	0	0	0	0	0	0	1.312119372	0	0	0	2.72873801	3.873858726	0	0	2.022178858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2311.605942	0	0	0	0	0
