BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum,smNRPS 
O2.UC35.2__NODE_7213_length_5097_cov_3.16819__5097__resorcinol__ANTISMASH__0_5097,3.67468936,-,-,-,0.012288541,NZ_KB890326,Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Bacteroidetes,
V1.UC52.0__NODE_1350_length_21860_cov_2.35538__21860__nrps__ANTISMASH__0_21860,2.864649688,-,-,-,0.022735666,N/A,N/A,Unassigned,
O2.UC40.0__NODE_2356_length_11454_cov_1.20563__11454__nrps__ANTISMASH__0_11454,2.464065716,-,-,-,0.213827244,NZ_OLMR01000003,Anaeromassilibacillus sp. Marseille-P3876,Firmicutes,
O2.UC27.2__NODE_3230_length_6168_cov_1.50875__6168__nrps__ANTISMASH__0_6168,1.886310785,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.CD41.0__NODE_5730_length_6247_cov_2.11111__6247__nrps__ANTISMASH__0_6247,3.320848891,CD,3.096662758,0.005019472,0.005019472,NZ_OEPZ01000003,Dorea sp. Marseille-P4003,Firmicutes,
V1.CD10.0__NODE_524_length_14851_cov_8.45918__14851__bacteriocin__ANTISMASH__0_14851,3.288633465,-,-,-,0.096361309,NZ_LT599053,Lactococcus lactis subsp. lactis (Streptococcus lactis),Firmicutes,
V1.UC53.4__NODE_4088_length_7143_cov_2.74097__7143__lantipeptide__ANTISMASH__0_7143,3.737587703,-,-,-,0.110575588,NZ_CZAW01000005,Blautia wexlerae,Firmicutes,
V1.CD35.1__NODE_2934_length_7467_cov_2.68254__7467__nrps__ANTISMASH__0_7467,1.665964316,-,-,-,0.065953933,N/A,N/A,Unassigned,
O2.UC47.0__NODE_60_length_94426_cov_8.02969__44278__nrps__ANTISMASH__8390_52668,3.021269596,-,-,-,0.028665012,N/A,N/A,Unassigned,
V1.CD10.0__NODE_309_length_23846_cov_1.42827__23846__bacteriocin__ANTISMASH__0_23846,3.023037038,-,-,-,0.708380707,NZ_CP020431,Streptococcus sp. FDAARGOS_192,Firmicutes,
O2.UC12.2__NODE_353_length_41551_cov_11.2628__26464__arylpolyene__ANTISMASH__0_26464,3.013599496,-,-,-,0.213827244,N/A,N/A,Unassigned,
O2.UC9.2__NODE_5914_length_6026_cov_1.18975__6026__nrps__ANTISMASH__0_6026,1.354211293,-,-,-,0.43932307,NZ_LFIL01000008,Ruminococcus sp. DSM 100440,Firmicutes,
O2.UC29.2__NODE_4944_length_5221_cov_10.1427__5221__nrps__ANTISMASH__0_5221,1.591991346,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.CD25.4__NODE_1517_length_22823_cov_6.87966__22823__arylpolyene__ANTISMASH__0_22823,2.625356049,CD,2.511363851,0.008932809,0.008932809,N/A,N/A,Unassigned,
O2.UC34.2__NODE_780_length_21279_cov_1.88918__21279__lantipeptide__ANTISMASH__0_21279,3.495732426,-,-,-,0.628781367,NZ_CZBA01000009,Blautia obeum,Firmicutes,
O2.UC4.2__NODE_1629_length_18859_cov_4.07977__18859__arylpolyene__ANTISMASH__0_18859,2.944831004,-,-,-,0.036038833,N/A,N/A,Unassigned,
V1.UC55.0__NODE_187_length_98541_cov_9.14563__47600__nrps-ladderane__ANTISMASH__0_47600,2.105985118,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.UC2.0__NODE_1_length_401813_cov_2.74405__43606__arylpolyene__ANTISMASH__173833_217439,1.950447501,-,-,-,0.347704122,N/A,N/A,Unassigned,
O2.UC47.2__NODE_9_length_236625_cov_49.2843__47443__nrps__ANTISMASH__97344_144787,3.0403624,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.CD41.0__NODE_147_length_95504_cov_10.0701__39311__bacteriocin-arylpolyene__ANTISMASH__41138_80449,2.156351107,-,-,-,0.56409548,NZ_CVTY01000007,Dakarella massiliensis,Proteobacteria,
