BGC_NAME	TAXA_NAME	ACC_ID	PERC_IDENT	COVERAGE	ORGANISM	PHYLUM	Manual_PHYLUM	Manual_ORGANISM
O2.UC1.2__NODE_2735_length_11824_cov_7.70023__11824__microcin__ANTISMASH__0_11824	"Eubacterium siraeum DSM 15702 Scfld_03_42, whole genome shotgun sequence"	NZ_DS499550	96.291	100	Eubacterium siraeum DSM 15702	Firmicutes		
O2.UC1.2__NODE_4786_length_7633_cov_18.9781__7633__resorcinol__ANTISMASH__0_7633	"Porphyromonas uenonis DSM 23387 = JCM 13868 strain DSM 23387 L215DRAFT_scaffold00004.4, whole genome shotgun sequence"	NZ_KI535309	98.075	100	N/A	N/A	Bacteroidetes	Porphyromonas uenonis DSM 23387 = JCM 13868
O2.UC1.2__NODE_6241_length_6048_cov_2.74253__6048__nrps__ANTISMASH__0_6048	"Ruminococcus torques strain 2789STDY5608867, whole genome shotgun sequence"	NZ_CZBS01000005	96.698	65	Ruminococcus torques	Firmicutes		
O2.UC13.2__NODE_224_length_71050_cov_8.33183__43258__nrps__ANTISMASH__12457_55715	"Clostridium sp. L2-50 Scfld_02_17, whole genome shotgun sequence"	NZ_DS480328	99.332	99	Clostridium sp. L2-50	Firmicutes		
O2.UC13.2__NODE_1269_length_23228_cov_3.74677__23228__resorcinol__ANTISMASH__0_23228	"Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain DSM 17679 aczJl-supercont1.2, whole genome shotgun sequence"	NZ_KB905473	96.677	89	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	Bacteroidetes		
O2.UC16.2__NODE_664_length_20687_cov_4.39148__20687__nrps__ANTISMASH__0_20687	"Clostridium sp. L2-50 Scfld_02_17, whole genome shotgun sequence"	NZ_DS480328	93.574	91	Clostridium sp. L2-50	Firmicutes		
O2.UC16.2__NODE_4511_length_5093_cov_1.04982__5093__nrps__ANTISMASH__0_5093	"Blautia obeum strain 2789STDY5608838, whole genome shotgun sequence"	NZ_CYZA01000004	99.858	59	Blautia obeum	Firmicutes		
O2.UC17.2__NODE_4209_length_7910_cov_4.22164__7910__lantipeptide__ANTISMASH__0_7910	"Faecalibacterium prausnitzii strain APC924/119 NODE_40_length_7795_cov_234.718, whole genome shotgun sequence"	NZ_PRLF01000040	99.384	90	N/A	N/A	Firmicutes	Faecalibacterium prausnitzii
O2.UC18.2__NODE_2955_length_10877_cov_4.25097__10877__resorcinol__ANTISMASH__0_10877	"Prevotella sp. 109 contig00005, whole genome shotgun sequence"	NZ_LFQU01000005	97.01	73	Prevotella sp. 109	Bacteroidetes		
O2.UC19.2__NODE_3466_length_6561_cov_1.87212__6561__arylpolyene__ANTISMASH__0_6561	"Alistipes finegoldii strain 2789STDY5608890, whole genome shotgun sequence"	NZ_CYYQ01000001	99.54	93	Alistipes finegoldii	Bacteroidetes		
