BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum
O2.UC35.2__NODE_7213_length_5097_cov_3.16819__5097__resorcinol__ANTISMASH__0_5097,3.59920297743,-,-,-,0.235962687825428,NZ_KB890326,Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Bacteroidetes
V1.UC52.0__NODE_1350_length_21860_cov_2.35538__21860__nrps__ANTISMASH__0_21860,2.99856724292,UC,2.7073895581,0.00670834251945,0.00670834251945373,N/A,N/A,Unassigned
O2.UC40.0__NODE_2356_length_11454_cov_1.20563__11454__nrps__ANTISMASH__0_11454,2.44544296496,-,-,-,0.310984456208192,NZ_OLMR01000003,Anaeromassilibacillus sp. Marseille-P3876,Firmicutes
O2.UC27.2__NODE_3230_length_6168_cov_1.50875__6168__nrps__ANTISMASH__0_6168,2.24700714311,-,-,-,0.23881588778877,N/A,N/A,Unassigned
V1.CD41.0__NODE_5730_length_6247_cov_2.11111__6247__nrps__ANTISMASH__0_6247,3.32084889141,-,-,-,0.0904402635926109,NZ_OEPZ01000003,Dorea sp. Marseille-P4003,Firmicutes
V1.CD10.0__NODE_524_length_14851_cov_8.45918__14851__bacteriocin__ANTISMASH__0_14851,3.28863346536,-,-,-,0.193952262794632,NZ_NCWV01000035,Lactococcus lactis,Firmicutes
V1.UC53.4__NODE_4088_length_7143_cov_2.74097__7143__lantipeptide__ANTISMASH__0_7143,3.73758770307,-,-,-,0.113822460420808,NZ_CZAW01000005,Blautia wexlerae,Firmicutes
V1.CD35.1__NODE_2934_length_7467_cov_2.68254__7467__nrps__ANTISMASH__0_7467,1.66596431564,-,-,-,0.0139250616788644,N/A,N/A,Unassigned
O2.UC47.0__NODE_60_length_94426_cov_8.02969__44278__nrps__ANTISMASH__8390_52668,3.03610983205,-,-,-,0.0592679600148888,N/A,N/A,Unassigned
V1.CD10.0__NODE_309_length_23846_cov_1.42827__23846__bacteriocin__ANTISMASH__0_23846,3.02303703796,-,-,-,0.217158331407862,NZ_KV794107,Streptococcus sp. HMSC078H03,Firmicutes
O2.UC12.2__NODE_353_length_41551_cov_11.2628__26464__arylpolyene__ANTISMASH__0_26464,2.79998067775,-,-,-,0.563922257375829,N/A,N/A,Unassigned
O2.UC9.2__NODE_5914_length_6026_cov_1.18975__6026__nrps__ANTISMASH__0_6026,1.62182491216,-,-,-,0.356672031948739,NZ_LFIL01000008,Ruminococcus sp. DSM 100440,Firmicutes
O2.UC29.2__NODE_4944_length_5221_cov_10.1427__5221__nrps__ANTISMASH__0_5221,2.72066030415,-,-,-,0.184806511102482,N/A,N/A,Unassigned
V1.CD25.4__NODE_1517_length_22823_cov_6.87966__22823__arylpolyene__ANTISMASH__0_22823,2.67719225168,-,-,-,0.721493778689137,N/A,N/A,Unassigned
O2.UC34.2__NODE_780_length_21279_cov_1.88918__21279__lantipeptide__ANTISMASH__0_21279,3.49573242573,-,-,-,0.586983169029787,NZ_CZAW01000034,Blautia wexlerae,Firmicutes
O2.UC4.2__NODE_1629_length_18859_cov_4.07977__18859__arylpolyene__ANTISMASH__0_18859,2.61096439117,-,-,-,0.184806511102482,N/A,N/A,Unassigned
V1.UC55.0__NODE_187_length_98541_cov_9.14563__47600__nrps-ladderane__ANTISMASH__0_47600,2.35775321733,-,-,-,0.209945414619177,N/A,N/A,Unassigned
V1.UC2.0__NODE_1_length_401813_cov_2.74405__43606__arylpolyene__ANTISMASH__173833_217439,2.37615463696,-,-,-,0.982120839572034,N/A,N/A,Unassigned
O2.UC47.2__NODE_9_length_236625_cov_49.2843__47443__nrps__ANTISMASH__97344_144787,3.1319704901,-,-,-,0.23881588778877,N/A,N/A,Unassigned
V1.CD41.0__NODE_147_length_95504_cov_10.0701__39311__bacteriocin-arylpolyene__ANTISMASH__41138_80449,2.15635110746,CD,2.24065908344,0.00327427446797,0.00327427446797131,NZ_CVTY01000007,Dakarella massiliensis,Proteobacteria
V1.UC5.3__NODE_751_length_45286_cov_8.53883__23138__lantipeptide__ANTISMASH__3304_26442,3.40633439493,-,-,-,0.450379755779884,NZ_CZAW01000034,Blautia wexlerae,Firmicutes
V1.CD22.0__NODE_7806_length_6498_cov_2.68198__6498__nrps__ANTISMASH__0_6498,2.41548069312,-,-,-,0.134981744527036,NZ_LLKB01000001,Lachnospiraceae bacterium TF01-11,Firmicutes
V1.CD30.0__NODE_2533_length_10430_cov_4.38101__10430__bacteriocin__ANTISMASH__0_10430,2.42849408743,-,-,-,0.184806511102482,N/A,N/A,Unassigned
V1.UC27.0__NODE_2811_length_11073_cov_6.69858__10335__microcin__ANTISMASH__738_11073,3.75510355296,-,-,-,0.0137068152731495,N/A,N/A,Unassigned
O2.UC23.2__NODE_159_length_47799_cov_3.9969__35251__nrps__ANTISMASH__12548_47799,1.87519539399,-,-,-,0.356672031948739,N/A,N/A,Unassigned
