sseqid	slen	sstart	send	qseqid	qlen	qstart	qend	pident	evalue	Sample
I326_1_FC30VYFAAXX:4:35:1133:1081/2	53	53	1	smNRPS-CC	5875	617	669	98.113	4.96e-17	V1.CD1.0
FC615DRAAXX:2:102:6399:8570#0/1	39	1	39	smNRPS-CC	5875	1259	1297	100	3.66e-10	V1.CD10.0
FC615DRAAXX:2:34:5938:8226#0/2	41	1	41	smNRPS-CC	5875	1870	1910	100	2.83e-11	V1.CD10.0
FC615DRAAXX:2:91:4212:2373#0/2	41	41	1	smNRPS-CC	5875	960	1000	100	2.83e-11	V1.CD10.0
FC615DRAAXX:2:84:17946:14182#0/2	42	1	42	smNRPS-CC	5875	3997	4038	100	7.87e-12	V1.CD10.0
FC615DRAAXX:2:64:6737:19678#0/1	45	45	1	smNRPS-CC	5875	5485	5529	97.778	7.87e-12	V1.CD10.0
FC615DRAAXX:2:97:14919:10964#0/1	46	1	46	smNRPS-CC	5875	3239	3284	97.826	2.19e-12	V1.CD10.0
FC615DRAAXX:2:67:4535:13802#0/2	45	1	45	smNRPS-CC	5875	2352	2396	100	1.69e-13	V1.CD10.0
FC615DRAAXX:2:72:2799:10740#0/1	45	45	1	smNRPS-CC	5875	1891	1935	100	1.69e-13	V1.CD10.0
FC615DRAAXX:2:66:18479:19736#0/1	45	45	1	smNRPS-CC	5875	1893	1937	100	1.69e-13	V1.CD10.0
FC615DRAAXX:2:71:3130:6740#0/2	46	46	1	smNRPS-CC	5875	2736	2781	100	4.7e-14	V1.CD10.0
FC615DRAAXX:2:10:18379:18023#0/2	47	47	1	smNRPS-CC	5875	3579	3625	100	1.31e-14	V1.CD10.0
FC615DRAAXX:2:22:4123:1755#0/2	47	47	1	smNRPS-CC	5875	398	444	100	1.31e-14	V1.CD10.0
FC615DRAAXX:2:98:17822:3209#0/1	47	1	47	smNRPS-CC	5875	4677	4723	100	1.31e-14	V1.CD10.0
FC615DRAAXX:2:119:6950:8802#0/1	47	47	1	smNRPS-CC	5875	2417	2463	100	1.31e-14	V1.CD10.0
FC615DRAAXX:2:116:5585:9354#0/2	50	50	1	smNRPS-CC	5875	816	865	100	2.81e-16	V1.CD10.0
FC615DRAAXX:2:19:8337:5536#0/1	50	1	50	smNRPS-CC	5875	564	613	100	2.81e-16	V1.CD10.0
FC615DRAAXX:2:25:8079:5317#0/2	51	51	1	smNRPS-CC	5875	4680	4730	100	7.81e-17	V1.CD10.0
FC615DRAAXX:2:51:10810:21100#0/2	51	1	51	smNRPS-CC	5875	5793	5843	100	7.81e-17	V1.CD10.0
FC615DRAAXX:2:14:5373:4695#0/1	51	1	51	smNRPS-CC	5875	110	160	100	7.81e-17	V1.CD10.0
FC615DRAAXX:2:45:19194:20252#0/1	52	52	1	smNRPS-CC	5875	4851	4902	100	2.17e-17	V1.CD10.0
FC615DRAAXX:2:69:2458:2990#0/2	52	1	52	smNRPS-CC	5875	2717	2768	100	2.17e-17	V1.CD10.0
